edge_id,source_work_id,target_work_id,reason_ids,reason_count
edge-avengers-age-of-ultron-2015-captain-america-civil-war-2016,avengers-age-of-ultron-2015,captain-america-civil-war-2016,reason-avengers-age-of-ultron-2015-captain-america-civil-war-2016-explicit-relation-work-relation-avengers-age-of-ultron-2015-captain-america-civil-war-2016-aftermath|reason-avengers-age-of-ultron-2015-captain-america-civil-war-2016-shared-entity-entity-x-42251c0735|reason-avengers-age-of-ultron-2015-captain-america-civil-war-2016-shared-entity-entity-x-5a2ee964f0|reason-avengers-age-of-ultron-2015-captain-america-civil-war-2016-shared-entity-entity-x-5d8d873f91|reason-avengers-age-of-ultron-2015-captain-america-civil-war-2016-shared-entity-entity-x-605a05a114|reason-avengers-age-of-ultron-2015-captain-america-civil-war-2016-shared-entity-entity-x-927d19aa0b|reason-avengers-age-of-ultron-2015-captain-america-civil-war-2016-shared-entity-entity-x-f2dcf7c7cc,7
edge-avengers-age-of-ultron-2015-doctor-strange-in-the-multiverse-of-madness-2022,avengers-age-of-ultron-2015,doctor-strange-in-the-multiverse-of-madness-2022,reason-avengers-age-of-ultron-2015-doctor-strange-in-the-multiverse-of-madness-2022-shared-entity-entity-x-42251c0735,1
edge-avengers-age-of-ultron-2015-hawkeye-2021,avengers-age-of-ultron-2015,hawkeye-2021,reason-avengers-age-of-ultron-2015-hawkeye-2021-shared-entity-entity-x-605a05a114,1
edge-avengers-age-of-ultron-2015-she-hulk-attorney-at-law-2022,avengers-age-of-ultron-2015,she-hulk-attorney-at-law-2022,reason-avengers-age-of-ultron-2015-she-hulk-attorney-at-law-2022-shared-entity-entity-x-50a34df778,1
edge-avengers-age-of-ultron-2015-spider-man-homecoming-2017,avengers-age-of-ultron-2015,spider-man-homecoming-2017,reason-avengers-age-of-ultron-2015-spider-man-homecoming-2017-shared-entity-entity-x-5a2ee964f0,1
edge-avengers-age-of-ultron-2015-thor-love-and-thunder-2022,avengers-age-of-ultron-2015,thor-love-and-thunder-2022,reason-avengers-age-of-ultron-2015-thor-love-and-thunder-2022-shared-entity-entity-x-7250204b23,1
edge-avengers-age-of-ultron-2015-thor-ragnarok-2017,avengers-age-of-ultron-2015,thor-ragnarok-2017,reason-avengers-age-of-ultron-2015-thor-ragnarok-2017-shared-entity-entity-x-50a34df778|reason-avengers-age-of-ultron-2015-thor-ragnarok-2017-shared-entity-entity-x-7250204b23,2
edge-avengers-age-of-ultron-2015-visionquest-2026-10-14,avengers-age-of-ultron-2015,visionquest-2026-10-14,reason-avengers-age-of-ultron-2015-visionquest-2026-10-14-explicit-relation-work-relation-avengers-age-of-ultron-2015-visionquest-2026-10-14-story-link|reason-avengers-age-of-ultron-2015-visionquest-2026-10-14-shared-entity-entity-x-5d8d873f91,2
edge-avengers-age-of-ultron-2015-wandavision-2021,avengers-age-of-ultron-2015,wandavision-2021,reason-avengers-age-of-ultron-2015-wandavision-2021-explicit-relation-work-relation-avengers-age-of-ultron-2015-wandavision-2021-story-link|reason-avengers-age-of-ultron-2015-wandavision-2021-shared-entity-entity-x-42251c0735|reason-avengers-age-of-ultron-2015-wandavision-2021-shared-entity-entity-x-5d8d873f91,3
edge-avengers-doomsday-2026-12-18-avengers-secret-wars-2027-12-17,avengers-doomsday-2026-12-18,avengers-secret-wars-2027-12-17,reason-avengers-doomsday-2026-12-18-avengers-secret-wars-2027-12-17-explicit-relation-work-relation-avengers-doomsday-2026-12-18-avengers-secret-wars-2027-12-17-story-link,1
edge-avengers-endgame-2019-ant-man-and-the-wasp-quantumania-2023,avengers-endgame-2019,ant-man-and-the-wasp-quantumania-2023,reason-avengers-endgame-2019-ant-man-and-the-wasp-quantumania-2023-explicit-relation-work-relation-avengers-endgame-2019-ant-man-and-the-wasp-quantumania-2023-world-lore,1
edge-avengers-endgame-2019-avengers-doomsday-2026-12-18,avengers-endgame-2019,avengers-doomsday-2026-12-18,reason-avengers-endgame-2019-avengers-doomsday-2026-12-18-explicit-relation-work-relation-avengers-endgame-2019-avengers-doomsday-2026-12-18-story-link|reason-avengers-endgame-2019-avengers-doomsday-2026-12-18-shared-entity-entity-x-7250204b23,2
edge-avengers-endgame-2019-black-panther-wakanda-forever-2022,avengers-endgame-2019,black-panther-wakanda-forever-2022,reason-avengers-endgame-2019-black-panther-wakanda-forever-2022-shared-entity-entity-x-6f5fa7e694,1
edge-avengers-endgame-2019-black-widow-2021,avengers-endgame-2019,black-widow-2021,reason-avengers-endgame-2019-black-widow-2021-shared-entity-entity-x-927d19aa0b,1
edge-avengers-endgame-2019-captain-america-brave-new-world-2025,avengers-endgame-2019,captain-america-brave-new-world-2025,reason-avengers-endgame-2019-captain-america-brave-new-world-2025-shared-entity-entity-x-fd344cdc17,1
edge-avengers-endgame-2019-doctor-strange-in-the-multiverse-of-madness-2022,avengers-endgame-2019,doctor-strange-in-the-multiverse-of-madness-2022,reason-avengers-endgame-2019-doctor-strange-in-the-multiverse-of-madness-2022-shared-entity-entity-x-42251c0735|reason-avengers-endgame-2019-doctor-strange-in-the-multiverse-of-madness-2022-shared-entity-entity-x-c8ead423cc,2
